GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,195112,58.000000,2.000000,1.000000,195112.000000,0.010667,22.741561,0.000000,0.000000,0.113688,195112.000000,3.448276
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,300763,67.000000,2.000000,1.000000,300763.000000,0.011333,50.207680,0.000000,0.000000,0.251017,300763.000000,2.985075
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,405224,74.000000,2.000000,1.000000,405224.000000,0.015333,86.368050,0.000000,0.000000,0.431818,405224.000000,2.702703
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,493039,79.000000,2.000000,1.000000,493039.000000,0.013333,125.352905,0.000000,0.000000,0.626742,493039.000000,2.531646
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,592704,84.000000,2.000000,1.000000,592704.000000,0.014000,176.733485,0.000000,0.000000,0.883641,592704.000000,2.380952
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,704969,89.000000,2.000000,1.000000,704969.000000,0.014333,260.744985,0.000000,0.000000,1.303699,704969.000000,2.247191
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,804357,93.000000,2.000000,1.000000,804357.000000,0.016000,337.406026,0.000000,0.000000,1.687003,804357.000000,2.150538
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,912673,97.000000,2.000000,1.000000,912673.000000,0.017667,422.590922,0.000000,0.000000,2.112927,912673.000000,2.061856
NVIDIA H100 PCIe,1,0,circles_bruteforce_rtc,200,1000000,100.000000,2.000000,1.000000,1000000.000000,0.018333,508.855794,0.000000,0.000000,2.544249,1000000.000000,2.000000
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066279,0.000000,0.072134,0.000000,0.000000,0.000342,10648.000000,9.090909
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547841,0.000000,0.070801,0.000000,0.000000,0.000336,19683.000000,7.407407
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234187,0.000000,0.073156,0.000000,0.000000,0.000347,29791.000000,6.451613
NVIDIA H100 PCIe,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968129,0.000000,0.078679,0.000000,0.000000,0.000375,39304.000000,5.882353
