GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,0,1.000000,0.038012,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,1,1.000000,0.037676,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,2,1.000000,0.037676,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,3,1.000000,0.037672,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,4,1.000000,0.037680,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,5,1.000000,0.037664,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,6,1.000000,0.037673,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,7,1.000000,0.037668,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,8,1.000000,0.037673,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,9,1.000000,0.037672,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,10,1.000000,0.037681,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,11,1.000000,0.037679,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,12,1.000000,0.037697,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,13,1.000000,0.037668,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,14,1.000000,0.037679,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,15,1.000000,0.037671,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,16,1.000000,0.037673,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,17,1.000000,0.037666,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,18,1.000000,0.037681,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,19,1.000000,0.037672,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,20,1.000000,0.037681,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,21,1.000000,0.037669,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,22,1.000000,0.037678,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,23,1.000000,0.037674,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,24,1.000000,0.037678,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,25,1.000000,0.037671,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,26,1.000000,0.037680,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,27,1.000000,0.037683,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,28,1.000000,0.037686,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,29,1.000000,0.037683,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,30,1.000000,0.037686,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,31,1.000000,0.037680,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,32,1.000000,0.037683,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,33,1.000000,0.037676,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,34,1.000000,0.037683,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,35,1.000000,0.037677,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,36,1.000000,0.037687,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,37,1.000000,0.037685,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,38,1.000000,0.037688,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,39,1.000000,0.037682,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,40,1.000000,0.037691,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_bruteforce,200,64000,40.000000,2.000000,41,1.000000,0.037681,64000.000000,5.000000
