GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,1,1.000000,8960.027018,0.000000,2.478698,0.000000,0.000000,0.012375,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,2,1.000000,8960.027018,0.000000,2.472381,0.000000,0.000000,0.012344,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,5,1.000000,8960.027344,0.000000,2.468277,0.000000,0.000000,0.012324,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,10,1.000000,8960.027344,0.000000,2.467304,0.000000,0.000000,0.012319,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,20,1.000000,8960.026692,0.000000,2.468237,0.000000,0.000000,0.012324,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,50,1.000000,8960.027344,0.000000,2.478974,0.000000,0.000000,0.012377,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,100,1.000000,8960.027018,0.000000,2.487245,0.000000,0.000000,0.012417,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D,200,64000,40.000000,8.000000,200,1.000000,8960.027018,0.000000,2.500462,0.000000,0.000000,0.012485,64000.000000,20.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1.000000,193.737696,0.009667,0.132887,0.000000,0.000000,0.000648,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,1,1.000000,193.737701,0.009667,0.076505,0.000000,0.000000,0.000366,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,2,1.000000,193.737681,0.009333,0.069376,0.000000,0.000000,0.000331,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,5,1.000000,193.737686,0.009000,0.065249,0.000000,0.000000,0.000310,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,10,1.000000,193.737696,0.009333,0.064702,0.000000,0.000000,0.000307,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,20,1.000000,193.737696,0.009000,0.064524,0.000000,0.000000,0.000307,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,50,1.000000,193.737691,0.010000,0.065489,0.000000,0.000000,0.000311,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,100,1.000000,193.737660,0.009667,0.067156,0.000000,0.000000,0.000319,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,200,1.000000,193.737701,0.009333,0.068717,0.000000,0.000000,0.000327,64000.000000,5.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1.000000,1396.787191,0.010000,0.603595,0.000000,0.000000,0.003001,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,1,1.000000,1396.787231,0.010000,0.255973,0.000000,0.000000,0.001262,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,2,1.000000,1396.787231,0.009667,0.251316,0.000000,0.000000,0.001240,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,5,1.000000,1396.787191,0.009000,0.250339,0.000000,0.000000,0.001235,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,10,1.000000,1396.787272,0.008667,0.251653,0.000000,0.000000,0.001242,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,20,1.000000,1396.787191,0.009000,0.254392,0.000000,0.000000,0.001255,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,50,1.000000,1396.787231,0.010000,0.261297,0.000000,0.000000,0.001289,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,100,1.000000,1396.787231,0.010333,0.265246,0.000000,0.000000,0.001309,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,200,1.000000,1396.787231,0.008667,0.269315,0.000000,0.000000,0.001330,64000.000000,10.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,0,1.000000,3722.180420,0.012000,1.320109,0.000000,0.000000,0.006583,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,1,1.000000,3722.180176,0.009333,0.650733,0.000000,0.000000,0.003237,64000.000000,15.000000
NVIDIA A100-SXM4-80GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,6.000000,2,1.000000,3722.180338,0.010333,0.645702,0.000000,0.000000,0.003212,64000.000000,15.000000
