GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width,label,mean_s_simulation__speedup__V100_SXM2_CUDA_11.8
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1.000000,50653.000000,0.017333,2.400303,0.000000,0.000000,0.011989,50653.000000,5.405405,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1.000000,59319.000000,0.018000,2.802070,0.000000,0.000000,0.013998,59319.000000,5.128205,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1.000000,68921.000000,0.018667,5.176870,0.000000,0.000000,0.025871,68921.000000,4.878049,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,79507,43.000000,2.000000,1.000000,79507.000000,0.019000,5.911462,0.000000,0.000000,0.029544,79507.000000,4.651163,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,91125,45.000000,2.000000,1.000000,91125.000000,0.019000,6.773224,0.000000,0.000000,0.033853,91125.000000,4.444444,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,97336,46.000000,2.000000,1.000000,97336.000000,0.019000,7.227204,0.000000,0.000000,0.036123,97336.000000,4.347826,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,195112,58.000000,2.000000,1.000000,195112.000000,0.021000,29.095958,0.000000,0.000000,0.145465,195112.000000,3.448276,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,300763,67.000000,2.000000,1.000000,300763.000000,0.021000,67.238767,0.000000,0.000000,0.336179,300763.000000,2.985075,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,405224,74.000000,2.000000,1.000000,405224.000000,0.020667,120.476288,0.000000,0.000000,0.602365,405224.000000,2.702703,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,493039,79.000000,2.000000,1.000000,493039.000000,0.021333,171.765299,0.000000,0.000000,0.858810,493039.000000,2.531646,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,592704,84.000000,2.000000,1.000000,592704.000000,0.021000,220.647339,0.000000,0.000000,1.103217,592704.000000,2.380952,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,704969,89.000000,2.000000,1.000000,704969.000000,0.023000,315.014801,0.000000,0.000000,1.575053,704969.000000,2.247191,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,804357,93.000000,2.000000,1.000000,804357.000000,0.023000,419.345388,0.000000,0.000000,2.096699,804357.000000,2.150538,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,912673,97.000000,2.000000,1.000000,912673.000000,0.022667,543.349447,0.000000,0.000000,2.716724,912673.000000,2.061856,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_bruteforce_rtc,200,1000000,100.000000,2.000000,1.000000,1000000.000000,0.043333,668.744995,0.000000,0.000000,3.343700,1000000.000000,2.000000,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066284,0.000000,0.080264,0.000000,0.000000,0.000388,10648.000000,9.090909,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547841,0.000000,0.077859,0.000000,0.000000,0.000376,19683.000000,7.407407,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234202,0.000000,0.083155,0.000000,0.000000,0.000403,29791.000000,6.451613,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968165,0.000000,0.088885,0.000000,0.000000,0.000432,39304.000000,5.882353,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,50653,37.000000,2.000000,1.000000,178.532237,0.000000,0.100087,0.000000,0.000000,0.000488,50653.000000,5.405405,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59319,39.000000,2.000000,1.000000,180.321101,0.000000,0.106525,0.000000,0.000000,0.000520,59319.000000,5.128205,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,68921,41.000000,2.000000,1.000000,181.674169,0.000000,0.112554,0.000000,0.000000,0.000550,68921.000000,4.878049,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,79507,43.000000,2.000000,1.000000,182.616592,0.000000,0.114263,0.000000,0.000000,0.000558,79507.000000,4.651163,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,91125,45.000000,2.000000,1.000000,184.291753,0.000000,0.113798,0.000000,0.000000,0.000557,91125.000000,4.444444,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207535,0.000000,0.157793,0.000000,0.000000,0.000776,97336.000000,4.347826,V100 SXM2 CUDA 11.8,1.000000
