GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_ms_step,env_volume
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,58,1.000,10.161,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,59,1.000,10.172,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,60,1.000,10.185,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,61,1.000,10.195,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,62,1.000,10.216,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,63,1.000,10.224,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,64,1.000,10.225,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,65,1.000,10.242,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,66,1.000,10.255,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,67,1.000,10.267,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,68,1.000,10.278,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,69,1.000,10.291,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,70,1.000,10.297,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,71,1.000,10.313,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,72,1.000,10.324,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,73,1.000,10.332,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,74,1.000,10.341,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,75,1.000,10.355,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,76,1.000,10.367,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,77,1.000,10.378,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,78,1.000,10.394,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,79,1.000,10.408,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,80,1.000,10.421,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,81,1.000,10.432,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,82,1.000,10.445,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,83,1.000,10.453,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,84,1.000,10.464,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,85,1.000,10.480,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,86,1.000,10.494,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,87,1.000,10.504,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,88,1.000,10.518,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,89,1.000,10.534,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,90,1.000,10.551,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,91,1.000,10.565,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,92,1.000,10.571,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,93,1.000,10.583,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,94,1.000,10.598,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,95,1.000,10.618,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,96,1.000,10.635,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,97,1.000,10.650,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,98,1.000,10.662,10648.000
TITAN V,1,0,circles_bruteforce,100,10648,22.000,2.000,99,1.000,10.679,10648.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,0,1.000,16.702,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,1,1.000,16.230,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,2,1.000,16.218,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,3,1.000,16.211,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,4,1.000,16.216,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,5,1.000,16.222,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,6,1.000,16.221,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,7,1.000,16.225,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,8,1.000,16.235,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,9,1.000,16.242,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,10,1.000,16.243,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,11,1.000,16.248,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,12,1.000,16.254,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,13,1.000,16.261,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,14,1.000,16.270,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,15,1.000,16.274,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,16,1.000,16.278,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,17,1.000,16.286,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,18,1.000,16.289,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,19,1.000,16.299,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,20,1.000,16.303,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,21,1.000,16.316,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,22,1.000,16.321,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,23,1.000,16.326,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,24,1.000,16.326,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,25,1.000,16.331,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,26,1.000,16.341,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,27,1.000,16.348,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,28,1.000,16.356,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,29,1.000,16.364,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,30,1.000,16.374,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,31,1.000,16.378,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,32,1.000,16.387,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,33,1.000,16.396,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,34,1.000,16.399,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,35,1.000,16.409,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,36,1.000,16.417,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,37,1.000,16.425,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,38,1.000,16.433,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,39,1.000,16.442,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,40,1.000,16.451,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,41,1.000,16.459,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,42,1.000,16.468,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,43,1.000,16.475,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,44,1.000,16.485,19683.000
TITAN V,1,0,circles_bruteforce,100,19683,27.000,2.000,45,1.000,16.496,19683.000
