GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_ms_rtc,mean_ms_simulation,mean_ms_init,mean_ms_exit,mean_ms_step_mean,env_volume
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,297754,53.000,2.000,2.000,401.181,0.006,2624.335,0.002,0.068,13.108,148877.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,300763,67.000,2.000,1.000,204.610,0.006,1470.108,0.002,0.066,7.337,300763.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,318028,43.000,2.000,4.000,783.834,0.006,5334.537,0.002,0.071,26.659,79507.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,343000,70.000,2.000,1.000,212.712,0.006,1810.811,0.002,0.068,9.040,343000.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,364500,45.000,2.000,4.000,787.360,0.006,6212.039,0.002,0.071,31.046,91125.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,389344,46.000,2.000,4.000,837.189,0.006,7084.311,0.002,0.100,35.407,97336.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,390224,58.000,2.000,2.000,421.942,0.006,3846.002,0.002,0.066,19.216,195112.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,405224,74.000,2.000,1.000,213.256,0.005,2300.251,0.002,0.070,11.487,405224.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,446631,53.000,2.000,3.000,600.010,0.006,6661.014,0.002,0.096,33.290,148877.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,456533,77.000,2.000,1.000,206.462,0.006,2899.993,0.003,0.069,14.486,456533.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,493039,79.000,2.000,1.000,206.921,0.006,3454.627,0.002,0.068,17.259,493039.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,500094,63.000,2.000,2.000,405.274,0.006,6156.995,0.002,0.068,30.771,250047.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,585336,58.000,2.000,3.000,631.759,0.006,14396.598,0.002,0.102,71.968,195112.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,595508,53.000,2.000,4.000,798.939,0.006,18509.177,0.002,0.102,92.531,148877.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,601526,67.000,2.000,2.000,406.739,0.006,10062.595,0.002,0.103,50.298,300763.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,686000,70.000,2.000,2.000,423.444,0.006,14504.406,0.002,0.098,72.507,343000.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,750141,63.000,2.000,3.000,606.026,0.006,25056.486,0.003,0.134,125.265,250047.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,780448,58.000,2.000,4.000,842.255,0.006,38060.805,0.002,0.135,190.287,195112.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,810448,74.000,2.000,2.000,423.801,0.006,21255.147,0.002,0.100,106.260,405224.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,902289,67.000,2.000,3.000,608.146,0.006,36420.181,0.002,0.134,182.084,300763.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,913066,77.000,2.000,2.000,409.627,0.005,25545.291,0.002,0.105,127.711,456533.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,986078,79.000,2.000,2.000,410.249,0.006,29542.475,0.002,0.118,147.696,493039.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1000188,63.000,2.000,4.000,807.175,0.006,58101.439,0.002,0.171,290.488,250047.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1029000,70.000,2.000,3.000,633.518,0.006,48817.716,0.002,0.137,244.071,343000.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1203052,67.000,2.000,4.000,810.239,0.006,87702.695,0.002,0.160,438.492,300763.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1215672,74.000,2.000,3.000,634.429,0.006,70816.044,0.002,0.171,354.061,405224.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1369599,77.000,2.000,3.000,613.091,0.006,83526.328,0.002,0.169,417.611,456533.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1372000,70.000,2.000,4.000,844.679,0.008,113985.375,0.002,0.165,569.906,343000.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1479117,79.000,2.000,3.000,613.635,0.006,93706.255,0.002,0.171,468.511,493039.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1620896,74.000,2.000,4.000,846.067,0.006,147955.146,0.002,0.195,739.754,405224.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1826132,77.000,2.000,4.000,816.902,0.006,175444.370,0.002,0.170,877.199,456533.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D,200,1972156,79.000,2.000,4.000,818.051,0.006,195380.464,0.003,0.180,976.879,493039.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1.000,204.687,12.241,113.887,0.003,0.053,0.556,10648.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,19683,27.000,2.000,1.000,189.622,12.003,111.518,0.002,0.058,0.544,19683.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,21296,22.000,2.000,2.000,406.759,12.134,189.917,0.002,0.060,0.936,10648.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,29791,31.000,2.000,1.000,192.588,12.339,126.037,0.002,0.054,0.617,29791.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,31944,22.000,2.000,3.000,609.337,12.182,283.858,0.002,0.058,1.405,10648.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,39304,34.000,2.000,1.000,208.512,11.750,142.443,0.002,0.059,0.699,39304.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,39366,27.000,2.000,2.000,373.882,12.473,210.406,0.004,0.057,1.038,19683.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,42592,22.000,2.000,4.000,807.754,11.837,379.860,0.002,0.066,1.886,10648.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,50653,37.000,2.000,1.000,195.602,12.361,146.633,0.005,0.054,0.719,50653.000
