GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,ms_step
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,62,0.764
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,63,0.771
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,64,0.773
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,65,0.772
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,66,0.775
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,67,0.779
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,68,0.781
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,69,0.785
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,70,0.782
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,71,0.782
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,72,0.786
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,73,0.785
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,74,0.791
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,75,0.794
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,76,0.801
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,77,0.802
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,78,0.803
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,79,0.812
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,80,0.816
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,81,0.817
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,82,0.819
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,83,0.825
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,84,0.820
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,85,0.821
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,86,0.824
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,87,0.835
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,88,0.837
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,89,0.844
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,90,0.847
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,91,0.854
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,92,0.858
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,93,0.863
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,94,0.865
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,95,0.875
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,96,0.872
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,97,0.880
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,98,0.881
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,0,1.000,99,0.889
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,0,1.095
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,1,0.757
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,2,0.752
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,3,0.748
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,4,0.751
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,5,0.745
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,6,0.752
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,7,0.747
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,8,0.753
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,9,0.748
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,10,0.753
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,11,0.755
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,12,0.762
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,13,0.747
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,14,0.755
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,15,0.757
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,16,0.758
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,17,0.757
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,18,0.761
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,19,0.756
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,20,0.756
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,21,0.759
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,22,0.760
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,23,0.754
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,24,0.753
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,25,0.756
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,26,0.758
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,27,0.761
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,28,0.757
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,29,0.756
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,30,0.756
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,31,0.758
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,32,0.761
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,33,0.762
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,34,0.766
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,35,0.764
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,36,0.768
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,37,0.768
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,38,0.773
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,39,0.771
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,40,0.771
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,41,0.773
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,42,0.772
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,43,0.769
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,44,0.776
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,45,0.772
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,46,0.774
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,47,0.776
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,48,0.775
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,49,0.782
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,50,0.778
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,51,0.787
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,52,0.788
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,53,0.783
TITAN V,1,0,circles_spatial3D,100,10648,22.000,2.000,1,1.000,54,0.781
