GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D,100,78732,27.000,2.000,0,4.000,695.932,0.002,895.334,0.002,0.032,8.945
TITAN V,1,0,circles_spatial3D,100,78732,27.000,2.000,1,4.000,697.904,0.002,902.529,0.002,0.039,9.017
TITAN V,1,0,circles_spatial3D,100,78732,27.000,2.000,2,4.000,696.393,0.002,802.127,0.002,0.032,8.013
TITAN V,1,0,circles_spatial3D_rtc,100,78732,27.000,2.000,0,4.000,695.932,7.655,435.791,0.002,0.039,4.350
TITAN V,1,0,circles_spatial3D_rtc,100,78732,27.000,2.000,1,4.000,697.904,7.674,436.078,0.002,0.032,4.353
TITAN V,1,0,circles_spatial3D_rtc,100,78732,27.000,2.000,2,4.000,696.393,7.657,435.417,0.002,0.032,4.346
TITAN V,1,0,circles_spatial3D,100,29791,31.000,2.000,0,1.000,179.372,0.002,87.173,0.002,0.036,0.864
TITAN V,1,0,circles_spatial3D,100,29791,31.000,2.000,1,1.000,180.762,0.002,88.233,0.002,0.035,0.875
TITAN V,1,0,circles_spatial3D,100,29791,31.000,2.000,2,1.000,180.060,0.003,87.818,0.002,0.037,0.870
TITAN V,1,0,circles_spatial3D_rtc,100,29791,31.000,2.000,0,1.000,179.372,7.584,69.100,0.002,0.030,0.683
TITAN V,1,0,circles_spatial3D_rtc,100,29791,31.000,2.000,1,1.000,180.762,7.571,69.443,0.002,0.031,0.687
TITAN V,1,0,circles_spatial3D_rtc,100,29791,31.000,2.000,2,1.000,180.060,7.574,69.464,0.003,0.030,0.687
TITAN V,1,0,circles_spatial3D,100,59582,31.000,2.000,0,2.000,357.997,0.002,263.638,0.002,0.029,2.629
TITAN V,1,0,circles_spatial3D,100,59582,31.000,2.000,1,2.000,359.094,0.003,263.525,0.002,0.037,2.627
TITAN V,1,0,circles_spatial3D,100,59582,31.000,2.000,2,2.000,358.726,0.002,266.428,0.002,0.036,2.656
TITAN V,1,0,circles_spatial3D_rtc,100,59582,31.000,2.000,0,2.000,357.997,7.628,179.776,0.002,0.031,1.790
TITAN V,1,0,circles_spatial3D_rtc,100,59582,31.000,2.000,1,2.000,359.094,7.664,179.983,0.002,0.031,1.792
TITAN V,1,0,circles_spatial3D_rtc,100,59582,31.000,2.000,2,2.000,358.726,7.636,181.386,0.002,0.031,1.806
TITAN V,1,0,circles_spatial3D,100,89373,31.000,2.000,0,3.000,536.371,0.003,732.080,0.002,0.040,7.313
TITAN V,1,0,circles_spatial3D,100,89373,31.000,2.000,1,3.000,537.302,0.002,733.816,0.002,0.039,7.330
TITAN V,1,0,circles_spatial3D,100,89373,31.000,2.000,2,3.000,536.879,0.002,737.113,0.002,0.066,7.363
TITAN V,1,0,circles_spatial3D_rtc,100,89373,31.000,2.000,0,3.000,536.371,7.850,355.439,0.002,0.031,3.546
TITAN V,1,0,circles_spatial3D_rtc,100,89373,31.000,2.000,1,3.000,537.302,7.710,357.333,0.002,0.031,3.565
TITAN V,1,0,circles_spatial3D_rtc,100,89373,31.000,2.000,2,3.000,536.879,7.730,355.535,0.002,0.032,3.547
TITAN V,1,0,circles_spatial3D,100,119164,31.000,2.000,0,4.000,715.349,0.002,1049.013,0.002,0.032,10.482
TITAN V,1,0,circles_spatial3D,100,119164,31.000,2.000,1,4.000,715.565,0.003,1046.994,0.002,0.031,10.462
