GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_bruteforce,100,50653,37.000,2.000,0,1.000,50653.000,0.002,4860.330,0.002,0.002,48.596
TITAN V,1,0,circles_bruteforce,100,50653,37.000,2.000,1,1.000,50653.000,0.003,4865.759,0.002,0.002,48.650
TITAN V,1,0,circles_bruteforce,100,50653,37.000,2.000,2,1.000,50653.000,0.003,4864.211,0.002,0.002,48.634
TITAN V,1,0,circles_bruteforce_rtc,100,50653,37.000,2.000,0,1.000,50653.000,8.029,1501.090,0.002,0.002,15.003
TITAN V,1,0,circles_bruteforce_rtc,100,50653,37.000,2.000,1,1.000,50653.000,8.053,1502.233,0.002,0.002,15.015
TITAN V,1,0,circles_bruteforce_rtc,100,50653,37.000,2.000,2,1.000,50653.000,7.639,1500.990,0.002,0.002,15.002
TITAN V,1,0,circles_spatial3D,100,50653,37.000,2.000,0,1.000,184.953,0.002,145.735,0.002,0.040,1.450
TITAN V,1,0,circles_spatial3D,100,50653,37.000,2.000,1,1.000,185.329,0.002,145.593,0.002,0.029,1.448
TITAN V,1,0,circles_spatial3D,100,50653,37.000,2.000,2,1.000,185.261,0.002,147.387,0.002,0.037,1.466
TITAN V,1,0,circles_spatial3D_rtc,100,50653,37.000,2.000,0,1.000,184.953,7.804,108.109,0.002,0.030,1.073
TITAN V,1,0,circles_spatial3D_rtc,100,50653,37.000,2.000,1,1.000,185.329,7.767,107.502,0.002,0.030,1.067
TITAN V,1,0,circles_spatial3D_rtc,100,50653,37.000,2.000,2,1.000,185.261,7.635,108.961,0.002,0.031,1.082
TITAN V,1,0,circles_bruteforce,100,59319,39.000,2.000,0,1.000,59319.000,0.002,5634.767,0.002,0.002,56.340
TITAN V,1,0,circles_bruteforce,100,59319,39.000,2.000,1,1.000,59319.000,0.002,5639.512,0.002,0.002,56.387
TITAN V,1,0,circles_bruteforce,100,59319,39.000,2.000,2,1.000,59319.000,0.002,5642.278,0.002,0.002,56.415
TITAN V,1,0,circles_bruteforce_rtc,100,59319,39.000,2.000,0,1.000,59319.000,7.997,2630.386,0.002,0.002,26.296
TITAN V,1,0,circles_bruteforce_rtc,100,59319,39.000,2.000,1,1.000,59319.000,7.635,2632.509,0.002,0.002,26.317
TITAN V,1,0,circles_bruteforce_rtc,100,59319,39.000,2.000,2,1.000,59319.000,7.953,2632.744,0.002,0.002,26.320
TITAN V,1,0,circles_spatial3D,100,59319,39.000,2.000,0,1.000,186.512,0.002,151.373,0.002,0.038,1.506
