GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,s_step
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,33,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,34,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,35,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,36,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,37,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,38,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,39,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,40,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,41,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,42,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,43,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,44,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,45,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,46,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,47,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,48,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,49,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,50,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,51,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,52,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,53,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,54,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,55,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,56,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,57,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,58,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,59,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,60,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,61,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,62,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,63,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,64,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,65,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,66,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,67,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,68,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,69,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,70,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,71,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,72,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,73,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,74,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,75,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,76,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,77,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,78,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,79,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,80,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,81,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,82,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,83,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,84,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,85,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,86,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,87,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,88,0.050
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,89,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,90,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,91,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,92,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,93,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,94,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,95,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,96,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,97,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,98,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,99,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,100,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,101,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,102,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,103,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,104,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,105,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,106,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,107,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,108,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,109,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,110,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,111,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,112,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,113,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,114,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,115,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,116,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,117,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,118,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,119,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,120,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,121,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,122,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,123,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,124,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,125,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,126,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,127,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,128,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,129,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,130,0.052
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,131,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,132,0.051
NVIDIA GeForce RTX 3080,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,133,0.051
