GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,59049,27.000,2.000,0,3.000,553.194,0.000,0.354,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,59049,27.000,2.000,1,3.000,563.149,0.000,0.372,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,59049,27.000,2.000,2,3.000,556.251,0.000,0.381,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,0,3.000,553.194,0.007,0.282,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,1,3.000,563.149,0.006,0.302,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,2,3.000,556.251,0.006,0.295,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,78732,27.000,2.000,0,4.000,733.996,0.000,0.631,0.000,0.000,0.003
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,78732,27.000,2.000,1,4.000,748.600,0.000,0.667,0.000,0.000,0.003
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,78732,27.000,2.000,2,4.000,743.532,0.000,0.657,0.000,0.000,0.003
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,0,4.000,733.996,0.006,0.432,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,1,4.000,748.601,0.006,0.447,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,2,4.000,743.532,0.006,0.432,0.000,0.000,0.002
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,29791,31.000,2.000,0,1.000,190.947,0.000,0.148,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,29791,31.000,2.000,1,1.000,191.559,0.000,0.159,0.000,0.000,0.001
NVIDIA GeForce RTX 3080,1,0,circles_spatial3D,200,29791,31.000,2.000,2,1.000,191.369,0.000,0.149,0.000,0.000,0.001
