GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,106,1.000000,0.031771,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,107,1.000000,0.031771,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,108,1.000000,0.031774,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,109,1.000000,0.031775,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,110,1.000000,0.031775,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,111,1.000000,0.031776,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,112,1.000000,0.031773,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,113,1.000000,0.031777,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,114,1.000000,0.031779,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,115,1.000000,0.031777,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,116,1.000000,0.031780,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,117,1.000000,0.031778,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,118,1.000000,0.031780,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,119,1.000000,0.031781,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,120,1.000000,0.031785,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,121,1.000000,0.031782,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,122,1.000000,0.031787,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,123,1.000000,0.031781,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,124,1.000000,0.031781,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,125,1.000000,0.031783,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,126,1.000000,0.031783,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,127,1.000000,0.031782,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,128,1.000000,0.031783,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,129,1.000000,0.031779,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,130,1.000000,0.031786,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,131,1.000000,0.031788,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,132,1.000000,0.031787,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,133,1.000000,0.031782,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,134,1.000000,0.031789,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,135,1.000000,0.031787,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,136,1.000000,0.031786,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,137,1.000000,0.031785,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,138,1.000000,0.031789,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,139,1.000000,0.031786,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,140,1.000000,0.031793,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,141,1.000000,0.031788,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,142,1.000000,0.031794,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,143,1.000000,0.031791,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,144,1.000000,0.031794,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,145,1.000000,0.031790,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,146,1.000000,0.031793,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,147,1.000000,0.031789,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,148,1.000000,0.031794,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,149,1.000000,0.031791,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,150,1.000000,0.031794,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,151,1.000000,0.031797,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,152,1.000000,0.031792,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,153,1.000000,0.031795,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,154,1.000000,0.031796,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,155,1.000000,0.031798,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,156,1.000000,0.031799,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,157,1.000000,0.031797,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,158,1.000000,0.031799,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,159,1.000000,0.031795,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,160,1.000000,0.031801,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,161,1.000000,0.031796,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,162,1.000000,0.031803,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,163,1.000000,0.031801,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,164,1.000000,0.031807,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,165,1.000000,0.031803,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,166,1.000000,0.031804,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,167,1.000000,0.031804,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,168,1.000000,0.031806,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,169,1.000000,0.031804,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,170,1.000000,0.031804,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,171,1.000000,0.031805,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,172,1.000000,0.031806,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,173,1.000000,0.031807,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,174,1.000000,0.031809,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,175,1.000000,0.031810,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,176,1.000000,0.031807,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,177,1.000000,0.031806,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,178,1.000000,0.031810,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,179,1.000000,0.031812,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,180,1.000000,0.031811,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,181,1.000000,0.031812,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,182,1.000000,0.031813,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,183,1.000000,0.031812,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,184,1.000000,0.031815,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,185,1.000000,0.031813,64000.000000,5.000000
NVIDIA H100 PCIe,1,1,circles_bruteforce,200,64000,40.000000,2.000000,186,1.000000,0.031812,64000.000000,5.000000
