GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA TITAN V,1,0,circles_spatial3D,200,39304,34.000,2.000,2,1.000,208.122,0.000,0.217,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,39304,34.000,2.000,0,1.000,207.242,0.007,0.112,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,39304,34.000,2.000,1,1.000,207.567,0.006,0.114,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,39304,34.000,2.000,2,1.000,208.122,0.006,0.113,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_bruteforce,200,50653,37.000,2.000,0,1.000,50653.000,0.000,9.792,0.000,0.000,0.049
NVIDIA TITAN V,1,0,circles_bruteforce,200,50653,37.000,2.000,1,1.000,50653.000,0.000,9.824,0.000,0.000,0.049
NVIDIA TITAN V,1,0,circles_bruteforce,200,50653,37.000,2.000,2,1.000,50653.000,0.000,9.789,0.000,0.000,0.049
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,50653,37.000,2.000,0,1.000,50653.000,0.007,3.173,0.000,0.000,0.016
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,50653,37.000,2.000,1,1.000,50653.000,0.006,3.171,0.000,0.000,0.016
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,50653,37.000,2.000,2,1.000,50653.000,0.006,3.168,0.000,0.000,0.016
NVIDIA TITAN V,1,0,circles_spatial3D,200,50653,37.000,2.000,0,1.000,194.729,0.000,0.232,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,50653,37.000,2.000,1,1.000,195.591,0.000,0.220,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,50653,37.000,2.000,2,1.000,193.307,0.000,0.213,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,50653,37.000,2.000,0,1.000,194.729,0.007,0.118,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,50653,37.000,2.000,1,1.000,195.591,0.006,0.115,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,50653,37.000,2.000,2,1.000,193.307,0.006,0.114,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_bruteforce,200,59319,39.000,2.000,0,1.000,59319.000,0.000,11.318,0.000,0.000,0.057
NVIDIA TITAN V,1,0,circles_bruteforce,200,59319,39.000,2.000,1,1.000,59319.000,0.000,11.329,0.000,0.000,0.057
NVIDIA TITAN V,1,0,circles_bruteforce,200,59319,39.000,2.000,2,1.000,59319.000,0.000,11.308,0.000,0.000,0.057
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,59319,39.000,2.000,0,1.000,59319.000,0.007,4.006,0.000,0.000,0.020
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,59319,39.000,2.000,1,1.000,59319.000,0.007,4.067,0.000,0.000,0.020
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,59319,39.000,2.000,2,1.000,59319.000,0.006,4.072,0.000,0.000,0.020
NVIDIA TITAN V,1,0,circles_spatial3D,200,59319,39.000,2.000,0,1.000,196.468,0.000,0.236,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,59319,39.000,2.000,1,1.000,197.342,0.000,0.226,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,59319,39.000,2.000,2,1.000,195.093,0.000,0.221,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,59319,39.000,2.000,0,1.000,196.468,0.007,0.141,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,59319,39.000,2.000,1,1.000,197.342,0.006,0.143,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,59319,39.000,2.000,2,1.000,195.093,0.006,0.144,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_bruteforce,200,68921,41.000,2.000,0,1.000,68921.000,0.000,14.367,0.000,0.000,0.072
NVIDIA TITAN V,1,0,circles_bruteforce,200,68921,41.000,2.000,1,1.000,68921.000,0.000,14.113,0.000,0.000,0.071
NVIDIA TITAN V,1,0,circles_bruteforce,200,68921,41.000,2.000,2,1.000,68921.000,0.000,13.598,0.000,0.000,0.068
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,68921,41.000,2.000,0,1.000,68921.000,0.007,7.000,0.000,0.000,0.035
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,68921,41.000,2.000,1,1.000,68921.000,0.006,7.007,0.000,0.000,0.035
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,68921,41.000,2.000,2,1.000,68921.000,0.006,6.996,0.000,0.000,0.035
NVIDIA TITAN V,1,0,circles_spatial3D,200,68921,41.000,2.000,0,1.000,197.935,0.000,0.233,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,68921,41.000,2.000,1,1.000,198.269,0.000,0.232,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,68921,41.000,2.000,2,1.000,196.155,0.000,0.226,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,68921,41.000,2.000,0,1.000,197.935,0.007,0.149,0.000,0.000,0.001
