GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59049,27.000,2.000,0,3.000,553.194,0.000,0.429,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59049,27.000,2.000,1,3.000,563.149,0.000,0.450,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,59049,27.000,2.000,2,3.000,556.251,0.000,0.461,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,0,3.000,553.194,0.058,0.241,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,1,3.000,563.149,0.056,0.252,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59049,27.000,2.000,2,3.000,556.251,0.059,0.252,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78732,27.000,2.000,0,4.000,733.996,0.000,0.565,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78732,27.000,2.000,1,4.000,748.600,0.000,0.580,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,78732,27.000,2.000,2,4.000,743.532,0.000,0.567,0.000,0.000,0.003
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,0,4.000,733.996,0.056,0.350,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,1,4.000,748.600,0.054,0.358,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,78732,27.000,2.000,2,4.000,743.532,0.058,0.353,0.000,0.000,0.002
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000,2.000,0,1.000,190.947,0.000,0.195,0.000,0.000,0.001
Tesla V100-SXM2-32GB,1,0,circles_spatial3D,200,29791,31.000,2.000,1,1.000,191.559,0.000,0.208,0.000,0.000,0.001
