GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,0,1.000,10648.000,0.000,2.193,0.000,0.000,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,1,1.000,10648.000,0.000,2.153,0.000,0.000,0.011
NVIDIA TITAN V,1,0,circles_bruteforce,200,10648,22.000,2.000,2,1.000,10648.000,0.000,2.157,0.000,0.000,0.011
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,0,1.000,10648.000,12.344,0.958,0.000,0.000,0.005
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,1,1.000,10648.000,0.007,0.932,0.000,0.000,0.005
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,10648,22.000,2.000,2,1.000,10648.000,0.006,0.932,0.000,0.000,0.005
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,0,1.000,210.432,0.000,0.195,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,1,1.000,204.579,0.000,0.190,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,10648,22.000,2.000,2,1.000,210.178,0.000,0.195,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,0,1.000,210.432,13.960,0.105,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,1,1.000,204.579,0.006,0.100,0.000,0.000,0.000
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,10648,22.000,2.000,2,1.000,210.178,0.007,0.104,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_bruteforce,200,19683,27.000,2.000,0,1.000,19683.000,0.000,3.469,0.000,0.000,0.017
NVIDIA TITAN V,1,0,circles_bruteforce,200,19683,27.000,2.000,1,1.000,19683.000,0.000,3.470,0.000,0.000,0.017
NVIDIA TITAN V,1,0,circles_bruteforce,200,19683,27.000,2.000,2,1.000,19683.000,0.000,3.463,0.000,0.000,0.017
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,0,1.000,19683.000,0.007,1.453,0.000,0.000,0.007
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,1,1.000,19683.000,0.006,1.455,0.000,0.000,0.007
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,19683,27.000,2.000,2,1.000,19683.000,0.007,1.447,0.000,0.000,0.007
NVIDIA TITAN V,1,0,circles_spatial3D,200,19683,27.000,2.000,0,1.000,188.485,0.000,0.194,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,19683,27.000,2.000,1,1.000,191.363,0.000,0.191,0.000,0.000,0.001
NVIDIA TITAN V,1,0,circles_spatial3D,200,19683,27.000,2.000,2,1.000,187.777,0.000,0.193,0.000,0.000,0.001
