GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,step,s_step
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,70,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,71,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,72,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,73,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,74,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,75,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,76,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,77,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,78,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,79,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,80,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,81,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,82,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,83,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,84,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,85,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,86,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,87,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,88,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,89,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,90,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,91,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,92,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,93,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,94,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,95,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,96,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,97,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,98,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,99,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,100,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,101,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,102,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,103,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,104,0.061
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,105,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,106,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,107,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,108,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,109,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,110,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,111,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,112,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,113,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,114,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,115,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,116,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,117,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,118,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,119,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,120,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,121,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,122,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,123,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,124,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,125,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,126,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,127,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,128,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,129,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,130,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,131,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,132,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,133,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,134,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,135,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,136,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,137,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,138,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,139,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,140,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,141,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,142,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,143,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,144,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,145,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,146,0.064
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,147,0.063
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,148,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,149,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,150,0.062
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,2.000,0,1.000,151,0.062
