GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,8.000,2,1.000,64000.000,0.000,33.808,0.000,0.000,0.169
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,0,1.000,64000.000,0.007,19.122,0.000,0.000,0.096
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,1,1.000,64000.000,0.007,19.121,0.000,0.000,0.096
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,8.000,2,1.000,64000.000,0.007,19.122,0.000,0.000,0.096
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,8.000,0,1.000,9580.162,0.000,6.530,0.000,0.000,0.033
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,8.000,1,1.000,9537.490,0.000,6.503,0.000,0.000,0.033
NVIDIA TITAN V,1,0,circles_spatial3D,200,64000,40.000,8.000,2,1.000,9542.625,0.000,6.505,0.000,0.000,0.033
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,0,1.000,9580.164,0.007,2.747,0.000,0.000,0.014
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,1,1.000,9537.489,0.006,2.731,0.000,0.000,0.014
NVIDIA TITAN V,1,0,circles_spatial3D_rtc,200,64000,40.000,8.000,2,1.000,9542.623,0.006,2.722,0.000,0.000,0.014
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,10.000,0,1.000,64000.000,0.000,30.952,0.000,0.000,0.155
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,10.000,1,1.000,64000.000,0.000,30.918,0.000,0.000,0.155
NVIDIA TITAN V,1,0,circles_bruteforce,200,64000,40.000,10.000,2,1.000,64000.000,0.000,30.859,0.000,0.000,0.154
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,10.000,0,1.000,64000.000,0.007,19.073,0.000,0.000,0.095
NVIDIA TITAN V,1,0,circles_bruteforce_rtc,200,64000,40.000,10.000,1,1.000,64000.000,0.007,19.075,0.000,0.000,0.095
